province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Guam,US,09-05-20,13.4443,144.7937,POINT(144.7937 13.4443),151,5,0,146,66,,
Guam,US,15-06-20,13.4443,144.7937,POINT(144.7937 13.4443),185,5,0,180,66,,
Guam,US,26-03-20,13.4443,144.7937,POINT(144.7937 13.4443),45,1,0,0,66000,,
Guam,US,15-04-20,13.4443,144.7937,POINT(144.7937 13.4443),135,5,0,130,66,,
Guam,US,09-06-20,13.4443,144.7937,POINT(144.7937 13.4443),180,5,0,175,66,,
Guam,US,21-04-20,13.4443,144.7937,POINT(144.7937 13.4443),136,5,0,131,66,,
Guam,US,15-05-20,13.4443,144.7937,POINT(144.7937 13.4443),154,5,0,149,66,,
Guam,US,21-05-20,13.4443,144.7937,POINT(144.7937 13.4443),165,5,0,160,66,,
Guam,US,21-06-20,13.4443,144.7937,POINT(144.7937 13.4443),222,5,0,217,66,,
Guam,US,26-04-20,13.4443,144.7937,POINT(144.7937 13.4443),141,5,0,136,66,,
Guam,US,26-06-20,13.4443,144.7937,POINT(144.7937 13.4443),247,5,0,242,66,,
Guam,US,26-05-20,13.4443,144.7937,POINT(144.7937 13.4443),167,5,0,162,66,,
Guam,US,25-06-20,13.4443,144.7937,POINT(144.7937 13.4443),231,5,0,226,66,,
Guam,US,25-04-20,13.4443,144.7937,POINT(144.7937 13.4443),141,5,0,136,66,,
Guam,US,16-04-20,13.4443,144.7937,POINT(144.7937 13.4443),135,5,0,130,66,,
Guam,US,10-05-20,13.4443,144.7937,POINT(144.7937 13.4443),151,5,0,146,66,,
Guam,US,25-05-20,13.4443,144.7937,POINT(144.7937 13.4443),166,5,0,161,66,,
Guam,US,10-06-20,13.4443,144.7937,POINT(144.7937 13.4443),180,5,0,175,66,,
Guam,US,25-03-20,13.4443,144.7937,POINT(144.7937 13.4443),37,1,0,0,66000,,
Guam,US,01-06-20,13.4443,144.7937,POINT(144.7937 13.4443),175,5,0,170,66,,
Guam,US,01-05-20,13.4443,144.7937,POINT(144.7937 13.4443),145,5,0,140,66,,
Guam,US,01-04-20,13.4443,144.7937,POINT(144.7937 13.4443),77,3,0,0,66000,,
Guam,US,07-04-20,13.4443,144.7937,POINT(144.7937 13.4443),121,4,0,0,66,,
Guam,US,16-06-20,13.4443,144.7937,POINT(144.7937 13.4443),186,5,0,181,66,,
Guam,US,16-05-20,13.4443,144.7937,POINT(144.7937 13.4443),154,5,0,149,66,,
Guam,US,10-04-20,13.4443,144.7937,POINT(144.7937 13.4443),130,4,0,0,66,,
Guam,US,07-05-20,13.4443,144.7937,POINT(144.7937 13.4443),149,5,0,144,66,,
Guam,US,07-06-20,13.4443,144.7937,POINT(144.7937 13.4443),179,5,0,174,66,,
Guam,US,06-04-20,13.4443,144.7937,POINT(144.7937 13.4443),113,4,0,0,66,,
Guam,US,06-05-20,13.4443,144.7937,POINT(144.7937 13.4443),149,5,0,144,66,,
Guam,US,06-06-20,13.4443,144.7937,POINT(144.7937 13.4443),179,5,0,174,66,,
Guam,US,24-06-20,13.4443,144.7937,POINT(144.7937 13.4443),226,5,0,221,66,,
Guam,US,24-05-20,13.4443,144.7937,POINT(144.7937 13.4443),166,5,0,161,66,,
Guam,US,17-05-20,13.4443,144.7937,POINT(144.7937 13.4443),154,5,0,149,66,,
